ts	phase	decision	why	evidence	result
2026-09-15T19:39:10Z	frame	owner=sscw32, land on main directly, run phases 0-6 without stopping, example vault as only fixture, author sscw32	answers from the operator before start; owner observed from gh login and remote URL	LSTACK-SPEC.md sections 2, 12	framed
2026-09-15T19:39:10Z	frame	done predicate: node --test green; build on example byte-identical to checked-in views; lint 0 findings; 23 skills pass scripts/check-skills.mjs; npx skills add installs 23; serve renders 3 pages; README+portability.md exist	one falsifiable list to check the whole against at the end	docs/decisions.tsv	open
2026-09-15T19:39:10Z	frame	rigor: script high (deterministic tests, fixture), skills medium (structural check script plus trigger-test judge), portability smoke low (discovery plus one skill per agent)	the script is the only part a test can pin; skill prose is judged, not executed	LSTACK-SPEC.md section 12	framed
2026-09-15T19:39:10Z	frame	cursor-team-kit absent, so deslop/no-comments/control-cli fall back to pstack unslop, no-comments, and direct CLI runs	ls of plugin cache shows only pstack	~/.cursor/plugins/cache/cursor-public	recorded
2026-09-15T19:39:10Z	frame	running as a forked subagent that may not spawn code delegates, so I own the script diff directly with the same review separation (poteto-mode Feature step 4 escape)	harness forbids nested subagents unless a skill requires one; reserve spawns for the cross-model trail review and trigger-test judge	poteto-mode SKILL.md Subagents	recorded
2026-09-15T19:57:22Z	fixture	example vault has 7 nodes (2 branches, 5 children); spec says six but lists seven names	followed the names, not the count	examples/linear-algebra/kb	built
2026-09-15T19:57:22Z	fixture	fixture dates chosen so today.md at 2026-09-15 shows 4 due (one gap), 1 never tested, 0 frontier, 1 blocked	every section of the generated queue is exercised by one fixture	examples/linear-algebra/kb/today.md	built
2026-09-15T19:57:22Z	script	lint exits 1 only on ERROR; WARN and INFO print but exit 0	spec says 0 findings on the clean fixture and also wants overdue dates in it; overdue is a WARN by spec, so the two only reconcile if warnings do not fail	skills/setup-vault/scripts/lstack.mjs COMMANDS.lint	flagged deviation
2026-09-15T19:57:22Z	script	orphan rule also requires the node to have no prereqs of its own	the literal rule flags every terminal node in every vault forever; an orphan is a node with no edges at all	LINT_RULES orphan entry	flagged deviation
2026-09-15T19:57:22Z	script	top-level index rows are bold links, not bare bold	serve navigation needs the link; spec example shows bold text only	renderIndex	flagged deviation
2026-09-15T19:57:22Z	script	added --today flag, missing-frontmatter ERROR, and EADDRINUSE exit 2	spec 10.5 requires --today for determinism; the other two are boundary errors the spec table omits	lstack.mjs main, LINT_RULES[0], serve	added
2026-09-15T19:57:22Z	script	VERSION lint compares only against lstack.yaml, not the installed skill	a vault script cannot see the skill folder it came from	LINT_RULES VERSION entry	flagged deviation
2026-09-15T19:57:22Z	script	pass_threshold 0.67 left as spec; noted in node-schema.md that 2 of 3 fails at that value	material behaviour choice for the owner, not mine	skills/setup-vault/references/node-schema.md	open question for owner
2026-09-15T19:57:22Z	verify	serve checked by curl on 5 routes and headless Chrome screenshots of index, graph, today, node	IDE browser unreachable from this context; Chrome renders the CDN mermaid	docs/img/*.png	VERIFIED
2026-09-15T20:05:24Z	skills	wrote all 23 SKILL.md files myself in four spec-phase batches, check-skills.mjs green after each	forked context cannot spawn code delegates; one author keeps the shared blocks (precondition, preview, scoring) identical	commits e68ac05 3506c26 c1771f7 a8d2d5d	23 skills, 0 problems
2026-09-15T20:05:24Z	skills	testing skills each carry the full scoring block instead of pointing at one shared file	subset installs (-s drill) must still score correctly; the spec forbids cross-skill paths	skills/drill/SKILL.md Scoring	done
2026-09-15T20:05:24Z	manifests	added owner and description to marketplace.json	claude plugins validate rejects the spec's manifest without owner	.claude-plugin/marketplace.json	flagged deviation, validate passes
2026-09-15T20:05:24Z	verify	npx skills add /Users/shu/lstack in a scratch folder installed 23 skills to .agents/skills with .claude/skills symlinks; claude plugins validate passes on marketplace, plugin, and skills dir	phase 0 acceptance	/tmp/lstack-install/.agents/skills	VERIFIED
